Sample	serotype	st	source
GCA_035383775.1	O25	167	others
GCA_963679755.1	O25	131	others
GCA_963679555.1	O25	131	others
GCA_963679445.1	O25	131	others
GCA_963679505.1	O25	131	others
GCA_963679495.1	O25	131	others
GCA_012673205.1	O25	131	blood
GCA_012673485.1	O25	131	blood
GCA_012671765.1	O25	131	blood
GCA_012672005.1	O25	131	blood
GCA_012673665.1	O25	131	blood
GCA_012673805.1	O25	131	blood
GCA_012674005.1	O25	131	blood
GCA_012673825.1	O25	131	blood
GCA_012903265.1	O25	131	others
GCA_012775955.1	O25	131	others
GCA_012902245.1	O25	131	others
GCA_012905945.1	O25	131	others
GCA_012788595.1	O25	131	others
GCA_012779535.1	O25	131	others
GCA_012906105.1	O25	131	others
GCA_012906085.1	O25	131	others
GCA_012870955.1	O25	131	others
GCA_012903345.1	O25	131	others
GCA_012672025.1	O25	131	blood
GCA_012670525.1	O25	131	blood
GCA_012670605.1	O25	131	blood
GCA_012670745.1	O25	131	blood
GCA_012670165.1	O25	131	blood
GCA_034297795.1	O25	167	urine
GCA_963679595.1	O25	131	others
GCA_012670385.1	O25	131	blood
GCA_012670485.1	O25	131	blood
GCA_034155905.1	O25	others	urine
GCA_034157325.1	O25	69	respiratory
GCA_034157625.1	O25	131	urine
GCA_034157765.1	O25	unknown	urine
GCA_034157805.1	O25	131	urine
GCA_034157885.1	O25	131	respiratory
GCA_034150425.1	O25	others	urine
GCA_034159665.1	O25	73	urine
GCA_034161925.1	O25	405	blood
GCA_034162005.1	O25	131	respiratory
GCA_034162045.1	O25	131	urine
GCA_012903385.1	O25	131	others
GCA_012903545.1	O25	131	others
GCA_012789515.1	O25	others	others
GCA_012903485.1	O25	131	others
GCA_012789535.1	O25	131	others
GCA_012905505.1	O25	131	others
GCA_012779655.1	O25	131	others
GCA_012789575.1	O25	131	others
GCA_012645045.1	O25	131	urine
GCA_012661135.1	O25	131	urine
GCA_012590145.1	O25	131	urine
GCA_012645105.1	O25	131	urine
GCA_012788755.1	O25	131	others
GCA_012645265.1	O25	131	urine
GCA_012645225.1	O25	131	urine
GCA_012645325.1	O25	131	urine
GCA_034262975.1	O25	361	urine
GCA_012670445.1	O25	131	blood
GCA_012670045.1	O25	131	blood
GCA_012670285.1	O25	131	blood
GCA_012634085.1	O25	131	urine
GCA_012634225.1	O25	131	urine
GCA_012642835.1	O25	131	blood
GCA_012670425.1	O25	131	respiratory
GCA_033546495.1	O25	131	blood
GCA_034162065.1	O25	others	urine
GCA_012902145.1	O25	131	urine
GCA_034162765.1	O25	others	respiratory
GCA_012645285.1	O25	131	urine
GCA_012645425.1	O25	131	urine
GCA_012645545.1	O25	131	urine
GCA_012645485.1	O25	131	urine
GCA_012645525.1	O25	131	urine
GCA_012645605.1	O25	131	urine
GCA_012645565.1	O25	131	urine
GCA_012588405.1	O25	131	urine
GCA_012645665.1	O25	131	urine
GCA_012660985.1	O25	131	urine
GCA_012645725.1	O25	131	urine
GCA_012657815.1	O25	131	urine
GCA_043516295.1	O25	unknown	urine
GCA_012507775.1	O25	131	urine
GCA_013084465.1	O25	131	blood
GCA_012479675.1	O25	131	others
GCA_034029595.1	O25	unknown	others
GCA_033548635.1	O25	12	urine
GCA_043511225.1	O25	unknown	urine
GCA_043728245.1	O25	unknown	blood
GCA_013023445.1	O25	131	urine
GCA_012657915.1	O25	unknown	urine
GCA_012648085.1	O25	131	urine
GCA_012645825.1	O25	131	urine
GCA_012588605.1	O25	131	urine
GCA_012653065.1	O25	131	urine
GCA_012647665.1	O25	131	urine
GCA_012868315.1	O25	131	others
GCA_012499725.1	O25	others	urine
GCA_012499805.1	O25	131	urine
GCA_012419585.1	O25	131	urine
GCA_012432635.1	O25	131	urine
GCA_012432755.1	O25	131	others
GCA_033544685.1	O25	131	blood
GCA_033544615.1	O25	131	blood
GCA_033544435.1	O25	10	blood
GCA_033543815.1	O25	1193	blood
GCA_012867975.1	O25	131	others
GCA_012867825.1	O25	131	others
GCA_012866275.1	O25	131	others
GCA_902703135.1	O25	others	others
GCA_013024145.1	O25	131	urine
GCA_013024105.1	O25	131	urine
GCA_013024125.1	O25	131	urine
GCA_012866855.1	O25	others	others
GCA_964006195.1	O25	69	urine
GCA_964007065.1	O25	12	urine
GCA_964006875.1	O25	131	wound
GCA_012432855.3	O25	131	urine
GCA_012442905.1	O25	131	urine
GCA_012479925.1	O25	131	urine
GCA_012479735.1	O25	131	urine
GCA_012480075.1	O25	131	blood
GCA_013054465.1	O25	131	blood
GCA_003389165.1	O25	131	others
GCA_012479795.1	O25	131	others
GCA_012479815.1	O25	131	urine
GCA_033542755.1	O25	131	blood
GCA_012372395.1	O25	131	urine
GCA_012370055.1	O25	131	others
GCA_012372595.1	O25	131	urine
GCA_900607995.1	O25	131	others
GCA_012861905.1	O25	73	others
GCA_012862025.1	O25	73	others
GCA_043509085.1	O25	others	urine
GCA_043500925.1	O25	69	urine
GCA_013023525.1	O25	131	urine
GCA_013023365.1	O25	131	urine
GCA_013023545.1	O25	69	urine
GCA_013023425.1	O25	131	urine
GCA_013023405.1	O25	131	urine
GCA_013024865.1	O25	131	urine
GCA_013024205.1	O25	131	urine
GCA_013024825.1	O25	131	urine
GCA_013024285.1	O25	131	urine
GCA_013024315.1	O25	131	urine
GCA_013026865.1	O25	131	urine
GCA_033329045.1	O25	361	urine
GCA_033258805.1	O25	95	blood
GCA_047896115.1	O25	410	respiratory
GCA_047896415.1	O25	410	urine
GCA_047774735.1	O25	361	others
GCA_033543315.1	O25	others	blood
GCA_013024305.1	O25	131	urine
GCA_013023345.1	O25	others	urine
GCA_013024365.1	O25	131	urine
GCA_013024665.1	O25	131	urine
GCA_013024745.1	O25	131	urine
GCA_013024695.1	O25	131	urine
GCA_012869625.1	O25	131	others
GCA_012869605.1	O25	73	others
GCA_012857295.1	O25	131	others
GCA_032670385.1	O25	131	urine
GCA_032648305.1	O25	38	blood
GCA_032647905.1	O25	others	blood
GCA_032674025.1	O25	410	blood
GCA_013039625.1	O25	others	blood
GCA_013039645.1	O25	others	blood
GCA_004568365.1	O25	131	urine
GCA_004568345.1	O25	131	urine
GCA_004568155.1	O25	131	urine
GCA_004568135.1	O25	131	urine
GCA_032672225.1	O25	others	urine
GCA_032671805.1	O25	410	urine
GCA_032671745.1	O25	410	respiratory
GCA_032257765.1	O25	410	others
GCA_032647725.1	O25	131	blood
GCA_004568055.1	O25	131	urine
GCA_004567975.1	O25	131	urine
GCA_004568805.1	O25	131	urine
GCA_004568795.1	O25	131	urine
GCA_004568775.1	O25	131	urine
GCA_004568675.1	O25	131	urine
GCA_004568605.1	O25	131	urine
GCA_032671305.1	O25	69	blood
GCA_012856235.1	O25	69	others
GCA_013027085.1	O25	131	urine
GCA_013027025.1	O25	131	urine
GCA_013023825.1	O25	131	urine
GCA_012856595.1	O25	131	others
GCA_012856315.1	O25	131	others
GCA_004569175.1	O25	131	urine
GCA_004569165.1	O25	131	urine
GCA_004569085.1	O25	131	urine
GCA_004569065.1	O25	131	urine
GCA_004569015.1	O25	131	urine
GCA_004568995.1	O25	unknown	urine
GCA_964006575.1	O25	others	wound
GCA_032257625.1	O25	131	urine
GCA_012849915.1	O25	69	others
GCA_013027425.1	O25	131	urine
GCA_013027605.1	O25	131	urine
GCA_013027665.1	O25	131	urine
GCA_013027685.1	O25	131	urine
GCA_013023605.1	O25	131	urine
GCA_013026845.1	O25	131	urine
GCA_013026905.1	O25	131	urine
GCA_013028425.1	O25	131	urine
GCA_020872235.1	O25	131	others
GCA_012867755.1	O25	69	others
GCA_012849315.1	O25	131	urine
GCA_012849535.1	O25	others	urine
GCA_012877285.1	O25	others	others
GCA_032258865.1	O25	others	urine
GCA_964006775.1	O25	648	wound
GCA_004568975.1	O25	131	urine
GCA_047765895.1	O25	648	urine
GCA_047765955.1	O25	648	urine
GCA_005671045.1	O25	131	blood
GCA_004568495.1	O25	131	urine
GCA_004568425.1	O25	131	urine
GCA_004568435.1	O25	131	urine
GCA_004568405.1	O25	131	urine
GCA_004569695.1	O25	131	others
GCA_004569685.1	O25	131	urine
GCA_005670595.1	O25	131	blood
GCA_005670575.1	O25	131	blood
GCA_005670585.1	O25	131	blood
GCA_004569905.1	O25	131	urine
GCA_004569835.1	O25	131	urine
GCA_004569775.1	O25	131	urine
GCA_012472555.1	O25	131	wound
GCA_032253335.2	O25	167	urine
GCA_032258585.1	O25	others	urine
GCA_032258725.1	O25	410	respiratory
GCA_012874235.1	O25	131	urine
GCA_013027565.1	O25	131	urine
GCA_013027465.1	O25	131	urine
GCA_013027945.1	O25	131	urine
GCA_013027985.1	O25	131	urine
GCA_013028025.1	O25	131	urine
GCA_013028085.1	O25	131	urine
GCA_013028095.1	O25	131	urine
GCA_013027245.1	O25	131	urine
GCA_013027305.1	O25	131	urine
GCA_013027365.1	O25	131	urine
GCA_013027345.1	O25	131	urine
GCA_013027405.1	O25	131	urine
GCA_012849225.1	O25	131	others
GCA_012973965.1	O25	131	urine
GCA_012972605.1	O25	others	blood
GCA_012537275.1	O25	131	urine
GCA_005673435.1	O25	131	blood
GCA_005671285.1	O25	131	blood
GCA_005671265.1	O25	unknown	blood
GCA_005671215.1	O25	131	blood
GCA_005671145.1	O25	131	blood
GCA_005671115.1	O25	131	blood
GCA_005671075.1	O25	131	blood
GCA_005671055.1	O25	131	blood
GCA_005671035.1	O25	131	blood
GCA_012449425.1	O25	131	urine
GCA_005670885.1	O25	131	blood
GCA_005670875.1	O25	131	blood
GCA_005670845.1	O25	131	blood
GCA_005670835.1	O25	131	blood
GCA_005670815.1	O25	131	blood
GCA_032259505.1	O25	167	urine
GCA_012477915.1	O25	131	urine
GCA_012473075.1	O25	131	urine
GCA_012474475.1	O25	131	urine
GCA_012449505.1	O25	131	blood
GCA_012537255.1	O25	131	blood
GCA_012499205.1	O25	131	blood
GCA_012459865.1	O25	131	blood
GCA_012538055.1	O25	131	blood
GCA_012471315.1	O25	131	blood
GCA_012485835.1	O25	131	urine
GCA_012449525.1	O25	131	urine
GCA_012449465.1	O25	131	urine
GCA_012485795.1	O25	131	urine
GCA_012449365.1	O25	131	blood
GCA_012492665.1	O25	131	respiratory
GCA_012479595.1	O25	131	blood
GCA_012492705.1	O25	131	blood
GCA_012537715.1	O25	131	urine
GCA_012503235.1	O25	others	respiratory
GCA_012449945.1	O25	131	wound
GCA_012474335.1	O25	131	blood
GCA_012449405.1	O25	131	blood
GCA_012477875.1	O25	131	blood
GCA_031856435.1	O25	10	blood
GCA_031855135.1	O25	others	blood
GCA_032259225.1	O25	others	wound
GCA_012485875.1	O25	131	blood
GCA_012470965.1	O25	131	blood
GCA_012537695.1	O25	131	respiratory
GCA_012479555.1	O25	131	urine
GCA_012448745.1	O25	131	urine
GCA_012449325.1	O25	131	blood
GCA_012477795.1	O25	131	urine
GCA_012487125.1	O25	131	blood
GCA_031628795.1	O25	405	urine
GCA_031628535.1	O25	410	urine
GCA_031628475.1	O25	others	urine
GCA_032121815.2	O25	131	wound
GCA_012449975.1	O25	131	urine
GCA_012537515.1	O25	131	blood
GCA_012448575.1	O25	131	urine
GCA_012524475.1	O25	131	respiratory
GCA_012448645.1	O25	131	blood
GCA_012537585.1	O25	131	blood
GCA_012478815.1	O25	131	blood
GCA_012503315.1	O25	131	blood
GCA_012537595.1	O25	131	blood
GCA_012474075.1	O25	131	blood
GCA_012537375.1	O25	131	blood
GCA_012448285.1	O25	131	blood
GCA_012537655.1	O25	131	blood
GCA_012448705.1	O25	131	blood
GCA_012449305.1	O25	131	urine
GCA_012496905.1	O25	131	urine
GCA_012537435.1	O25	131	wound
GCA_012505555.1	O25	131	urine
GCA_012537395.1	O25	131	wound
GCA_012537525.1	O25	131	blood
GCA_012537495.1	O25	131	urine
GCA_012492605.1	O25	131	blood
GCA_012485215.1	O25	131	urine
GCA_012503375.1	O25	131	blood
GCA_012537335.1	O25	131	blood
GCA_012448325.1	O25	131	blood
GCA_012537575.1	O25	131	urine
GCA_012537635.1	O25	131	urine
GCA_012485735.1	O25	131	urine
GCA_012492585.1	O25	131	urine
GCA_012448305.1	O25	131	blood
GCA_012459905.1	O25	131	urine
GCA_012537355.1	O25	131	urine
GCA_012492685.1	O25	131	blood
GCA_012485755.1	O25	131	wound
GCA_012472635.1	O25	131	urine
GCA_012479515.1	O25	131	urine
GCA_012503415.1	O25	131	urine
GCA_012470905.1	O25	131	urine
GCA_012537175.1	O25	131	blood
GCA_012485535.1	O25	131	blood
GCA_012477815.1	O25	131	urine
GCA_012448605.1	O25	131	blood
GCA_012470885.1	O25	131	blood
GCA_012503355.1	O25	131	blood
GCA_012460005.1	O25	131	respiratory
GCA_012503495.1	O25	131	urine
GCA_012492525.1	O25	131	respiratory
GCA_012536855.1	O25	131	blood
GCA_012537315.1	O25	131	urine
GCA_012479495.1	O25	131	urine
GCA_012537075.1	O25	131	blood
GCA_012537055.1	O25	131	blood
GCA_012477555.1	O25	131	respiratory
GCA_958325435.1	O25	73	blood
GCA_958325365.1	O25	95	blood
GCA_012973485.1	O25	131	respiratory
GCA_012923105.1	O25	131	wound
GCA_013028065.1	O25	131	urine
GCA_013028245.1	O25	131	urine
GCA_013028355.1	O25	131	urine
GCA_013028445.1	O25	131	urine
GCA_013028485.1	O25	131	urine
GCA_013027865.1	O25	131	urine
GCA_013027845.1	O25	131	urine
GCA_013028585.1	O25	131	urine
GCA_013028665.1	O25	131	urine
GCA_013028865.1	O25	131	urine
GCA_012471015.1	O25	131	urine
GCA_012477675.1	O25	131	urine
GCA_012537155.1	O25	131	blood
GCA_012468175.1	O25	131	blood
GCA_012537095.1	O25	131	blood
GCA_012448185.1	O25	131	blood
GCA_012472775.1	O25	131	blood
GCA_012535775.1	O25	131	blood
GCA_012448145.1	O25	131	blood
GCA_012536595.1	O25	131	blood
GCA_012536955.1	O25	131	blood
GCA_012537215.1	O25	131	blood
GCA_012537195.1	O25	131	urine
GCA_012538095.1	O25	131	respiratory
GCA_012448245.1	O25	131	urine
GCA_012536975.1	O25	131	blood
GCA_012478795.1	O25	131	respiratory
GCA_012478855.1	O25	others	blood
GCA_012477655.1	O25	131	urine
GCA_012536995.1	O25	131	blood
GCA_012477755.1	O25	131	blood
GCA_012536795.1	O25	131	urine
GCA_012536755.1	O25	131	blood
GCA_012479635.1	O25	131	blood
GCA_012471355.1	O25	131	respiratory
GCA_012536615.1	O25	131	blood
GCA_012478775.1	O25	others	wound
GCA_012472615.1	O25	131	urine
GCA_012472575.1	O25	131	urine
GCA_012448065.1	O25	131	respiratory
GCA_012536895.1	O25	131	respiratory
GCA_012496845.1	O25	131	blood
GCA_012536915.1	O25	131	blood
GCA_012479075.1	O25	131	blood
GCA_012448045.1	O25	131	blood
GCA_012468055.1	O25	131	blood
GCA_012477595.1	O25	131	respiratory
GCA_012485695.1	O25	131	blood
GCA_012492645.1	O25	131	blood
GCA_012479335.1	O25	131	respiratory
GCA_012536695.1	O25	131	blood
GCA_012536935.1	O25	131	blood
GCA_012447565.1	O25	131	blood
GCA_012537035.1	O25	131	blood
GCA_012479655.1	O25	131	blood
GCA_012478695.1	O25	131	blood
GCA_012536825.1	O25	131	wound
GCA_012536805.1	O25	131	urine
GCA_012479455.1	O25	131	respiratory
GCA_012471255.1	O25	131	blood
GCA_012479415.1	O25	131	respiratory
GCA_012504515.1	O25	131	urine
GCA_012536715.1	O25	131	blood
GCA_012536555.1	O25	131	blood
GCA_012492505.1	O25	131	blood
GCA_012536575.1	O25	131	respiratory
GCA_012536535.1	O25	131	urine
GCA_012536875.1	O25	131	urine
GCA_012448085.1	O25	131	urine
GCA_012448125.1	O25	131	blood
GCA_012447955.1	O25	131	respiratory
GCA_012504595.1	O25	131	urine
GCA_012536315.1	O25	131	urine
GCA_012447905.1	O25	131	urine
GCA_012536435.1	O25	131	respiratory
GCA_012536415.1	O25	131	respiratory
GCA_012480095.1	O25	131	urine
GCA_012536335.1	O25	131	blood
GCA_958324835.1	O25	131	urine
GCA_958324155.1	O25	131	urine
GCA_958323825.1	O25	131	urine
GCA_958323845.1	O25	648	urine
GCA_012536635.1	O25	131	respiratory
GCA_012536475.1	O25	131	urine
GCA_012448005.1	O25	131	urine
GCA_012536485.1	O25	131	respiratory
GCA_012477535.1	O25	131	urine
GCA_012505375.1	O25	131	respiratory
GCA_012479615.1	O25	131	blood
GCA_012504555.1	O25	131	blood
GCA_012536235.1	O25	131	blood
GCA_012447925.1	O25	131	blood
GCA_012536775.1	O25	131	blood
GCA_012485665.1	O25	131	urine
GCA_012492485.1	O25	others	blood
GCA_012468115.1	O25	131	blood
GCA_012536655.1	O25	131	urine
GCA_012492545.1	O25	131	blood
GCA_012479475.1	O25	131	blood
GCA_012505415.1	O25	131	respiratory
GCA_012536215.1	O25	131	blood
GCA_012447885.1	O25	131	respiratory
GCA_012536355.1	O25	131	urine
GCA_012447805.1	O25	69	respiratory
GCA_012589945.1	O25	131	wound
GCA_012491485.1	O25	131	respiratory
GCA_012479295.1	O25	131	respiratory
GCA_012485575.1	O25	131	blood
GCA_012447965.1	O25	131	urine
GCA_012536375.1	O25	131	respiratory
GCA_012536395.1	O25	131	respiratory
GCA_012505335.1	O25	131	blood
GCA_013028825.1	O25	131	urine
GCA_013028985.1	O25	131	urine
GCA_013029465.1	O25	131	urine
GCA_013028705.1	O25	131	urine
GCA_013028725.1	O25	131	urine
GCA_013028185.1	O25	131	urine
GCA_013028205.1	O25	131	urine
GCA_013028845.1	O25	131	urine
GCA_013029005.1	O25	131	urine
GCA_013029045.1	O25	131	urine
GCA_013029185.1	O25	131	urine
GCA_013029125.1	O25	131	urine
GCA_013029085.1	O25	131	urine
GCA_012496825.1	O25	131	blood
GCA_012536075.1	O25	131	urine
GCA_012488055.1	O25	131	blood
GCA_012505495.1	O25	131	urine
GCA_012536155.1	O25	131	blood
GCA_012536255.1	O25	131	blood
GCA_012536195.1	O25	131	blood
GCA_012535795.1	O25	131	blood
GCA_012535855.1	O25	131	respiratory
GCA_012472655.1	O25	131	respiratory
GCA_012535815.1	O25	131	respiratory
GCA_012486955.1	O25	131	blood
GCA_012477495.1	O25	131	respiratory
GCA_012447105.1	O25	131	blood
GCA_012505675.1	O25	131	blood
GCA_012485595.1	O25	131	respiratory
GCA_012447745.1	O25	131	respiratory
GCA_012469515.1	O25	131	blood
GCA_012495605.1	O25	131	respiratory
GCA_012536055.1	O25	131	blood
GCA_012485395.1	O25	131	blood
GCA_012535835.1	O25	131	blood
GCA_012485435.1	O25	131	blood
GCA_012447635.1	O25	131	blood
GCA_012535755.1	O25	131	blood
GCA_012535875.1	O25	131	blood
GCA_012447685.1	O25	131	blood
GCA_958322655.1	O25	73	blood
GCA_958311835.1	O25	12	urine
GCA_012507435.1	O25	131	blood
GCA_012467955.1	O25	131	blood
GCA_012476035.1	O25	131	respiratory
GCA_012485455.1	O25	131	blood
GCA_012535915.1	O25	131	urine
GCA_012485495.1	O25	131	respiratory
GCA_012479385.1	O25	131	blood
GCA_012472695.1	O25	131	respiratory
GCA_964006025.1	O25	131	urine
GCA_964007355.1	O25	131	others
GCA_964007385.1	O25	648	urine
GCA_012477515.1	O25	131	respiratory
GCA_012535975.1	O25	131	blood
GCA_012447725.1	O25	131	blood
GCA_012467915.1	O25	131	urine
GCA_012478755.1	O25	131	urine
GCA_012589885.1	O25	131	blood
GCA_012447425.1	O25	131	blood
GCA_012478975.1	O25	131	blood
GCA_012535515.1	O25	131	urine
GCA_012478995.1	O25	131	urine
GCA_012472585.1	O25	131	urine
GCA_958312735.1	O25	others	urine
GCA_031525905.1	O25	others	urine
GCA_012496585.1	O25	131	respiratory
GCA_012478935.1	O25	131	blood
GCA_012529035.1	O25	69	urine
GCA_012479275.1	O25	131	blood
GCA_012535495.1	O25	131	urine
GCA_958311015.1	O25	69	urine
GCA_958310355.1	O25	1193	urine
GCA_012536035.1	O25	131	respiratory
GCA_013029165.1	O25	131	urine
GCA_013029405.1	O25	131	urine
GCA_013029265.1	O25	131	urine
GCA_013029385.1	O25	131	urine
GCA_013028565.1	O25	131	urine
GCA_012924565.1	O25	131	urine
GCA_012977425.1	O25	131	blood
GCA_012977445.1	O25	131	blood
GCA_012977345.1	O25	131	urine
GCA_012973125.1	O25	131	blood
GCA_012973265.1	O25	131	urine
GCA_012973225.1	O25	131	respiratory
GCA_012973245.1	O25	others	respiratory
GCA_012973285.1	O25	131	blood
GCA_958310915.1	O25	410	urine
GCA_012478735.1	O25	131	urine
GCA_012980625.1	O25	131	respiratory
GCA_012980715.1	O25	others	urine
GCA_012980745.1	O25	131	urine
GCA_031527125.1	O25	others	blood
GCA_031527245.1	O25	131	others
GCA_958323655.1	O25	131	urine
GCA_031460825.1	O25	131	urine
GCA_012528855.1	O25	131	blood
GCA_012528795.1	O25	131	blood
GCA_012528635.1	O25	131	respiratory
GCA_012528875.1	O25	131	blood
GCA_012528775.1	O25	131	blood
GCA_012980275.1	O25	131	respiratory
GCA_012980355.1	O25	131	respiratory
GCA_037406755.1	O25	1193	urine
GCA_037492665.1	O25	38	urine
GCA_958325905.1	O25	131	urine
GCA_958326335.1	O25	131	urine
GCA_958325835.1	O25	131	urine
GCA_012973305.1	O25	131	blood
GCA_012973845.1	O25	131	urine
GCA_012973885.1	O25	131	wound
GCA_013029295.1	O25	131	urine
GCA_013029445.1	O25	131	urine
GCA_013029365.1	O25	131	urine
GCA_013029345.1	O25	131	urine
GCA_012980075.1	O25	131	respiratory
GCA_012979835.1	O25	69	urine
GCA_012973825.1	O25	131	urine
GCA_958309655.1	O25	131	urine
GCA_012980285.1	O25	131	urine
GCA_012980215.1	O25	131	urine
GCA_012528095.1	O25	131	respiratory
GCA_012528015.1	O25	69	urine
GCA_012527975.1	O25	131	blood
GCA_012528515.1	O25	131	blood
GCA_012528655.1	O25	131	respiratory
GCA_012980705.1	O25	131	respiratory
GCA_012980685.1	O25	131	wound
GCA_012528955.1	O25	131	respiratory
GCA_012528535.1	O25	131	urine
GCA_012528895.1	O25	131	respiratory
GCA_012528155.1	O25	131	urine
GCA_012528055.1	O25	131	urine
GCA_012528135.1	O25	131	respiratory
GCA_012528275.1	O25	131	urine
GCA_012528255.1	O25	131	wound
GCA_012528235.1	O25	131	urine
GCA_031327545.1	O25	131	urine
GCA_031327565.1	O25	131	urine
GCA_031327605.1	O25	others	urine
GCA_031327585.1	O25	131	urine
GCA_031327625.1	O25	131	urine
GCA_958310425.1	O25	others	urine
GCA_012980395.1	O25	131	blood
GCA_012529095.1	O25	131	urine
GCA_012530055.1	O25	131	others
GCA_031327525.1	O25	131	urine
GCA_012528375.1	O25	131	respiratory
GCA_012528355.1	O25	131	respiratory
GCA_012527965.1	O25	131	respiratory
GCA_012979875.1	O25	131	urine
GCA_012979755.1	O25	131	blood
GCA_012979855.1	O25	131	wound
GCA_012979895.1	O25	131	urine
GCA_012527635.1	O25	131	respiratory
GCA_012528685.1	O25	131	blood
GCA_012527895.1	O25	131	blood
GCA_012528675.1	O25	131	blood
GCA_012527855.1	O25	131	blood
GCA_013000645.1	O25	131	blood
GCA_013000675.1	O25	131	blood
GCA_013000625.1	O25	131	blood
GCA_013006855.1	O25	131	blood
GCA_013000885.1	O25	131	blood
GCA_013000545.1	O25	131	respiratory
GCA_013006875.1	O25	131	respiratory
GCA_013000775.1	O25	131	blood
